epoch,split,loss,loss_sup,loss_rec,loss_sparse,coord_acc,exact_match,hamming_distance,support_precision,support_recall,soft_residual_abs_mean,soft_circular_loss,hard_residual_abs_mean,hard_circular_loss
1,train,0.4967417815685272,0.39484868545532226,1.0189309581756592,0.0,0.8695546875,5e-05,2.087125,0.003698319625854492,0.007425,32.23720458984375,1.0189309581756592,31.7502904296875,1.000096827507019
1,val,0.4909603551864624,0.38892541761398314,1.0203493419647216,0.0,0.875,0.0,2.0,0.0,0.0,32.27800131225586,1.0203493419647216,31.763781140136718,1.000558807373047
2,train,0.4908821206569672,0.3889276798248291,1.01954439163208,0.0,0.875,0.0,2.0,0.0,0.0,32.252925762939455,1.01954439163208,31.7528921875,1.0001937816619872
2,val,0.4909593327522278,0.38892449984550476,1.0203483093261718,0.0,0.875,0.0,2.0,0.0,0.0,32.27797677001953,1.0203483093261718,31.763781140136718,1.000558807373047
3,train,0.49088083548545836,0.38892650637626647,1.0195432872772217,0.0,0.875,0.0,2.0,0.0,0.0,32.25289649658203,1.0195432872772217,31.7528921875,1.0001937707901
3,val,0.49095824370384217,0.38892351922988894,1.020347261619568,0.0,0.875,0.0,2.0,0.0,0.0,32.27794871215821,1.020347261619568,31.763781140136718,1.000558807373047
4,train,0.49087952189445494,0.3889252977371216,1.019542226409912,0.0,0.875,0.0,2.0,0.0,0.0,32.252868157958986,1.019542226409912,31.7528921875,1.0001937748908996
4,val,0.49095717458724975,0.3889225585460663,1.020346180152893,0.0,0.875,0.0,2.0,0.0,0.0,32.27792456054687,1.020346180152893,31.763781140136718,1.000558807373047
5,train,0.4908783038139343,0.3889241738796234,1.0195412761688232,0.0,0.875,0.0,2.0,0.0,0.0,32.25284338378906,1.0195412761688232,31.7528921875,1.000193785095215
5,val,0.49095618948936465,0.3889216666221619,1.0203452056884765,0.0,0.875,0.0,2.0,0.0,0.0,32.27790001831055,1.0203452056884765,31.763781140136718,1.000558807373047
6,train,0.49087718658447266,0.38892315435409547,1.0195403099060059,0.0,0.875,0.0,2.0,0.0,0.0,32.2528180053711,1.0195403099060059,31.7528921875,1.000193779182434
6,val,0.4909552961349487,0.3889208633899689,1.0203443138122559,0.0,0.875,0.0,2.0,0.0,0.0,32.277878509521486,1.0203443138122559,31.763781140136718,1.000558807373047
7,train,0.4908761469364166,0.38892220005989075,1.019539464187622,0.0,0.875,0.0,2.0,0.0,0.0,32.25279564208984,1.019539464187622,31.7528921875,1.0001937795639038
7,val,0.4909544738769531,0.3889201190471649,1.0203435102462768,0.0,0.875,0.0,2.0,0.0,0.0,32.27785856323242,1.0203435102462768,31.763781140136718,1.000558807373047
8,train,0.49087522921562193,0.38892135667800903,1.0195387115478516,0.0,0.875,0.0,2.0,0.0,0.0,32.25277615966797,1.0195387115478516,31.7528921875,1.0001937839508057
8,val,0.4909537417411804,0.3889194624900818,1.0203427892684938,0.0,0.875,0.0,2.0,0.0,0.0,32.27784135131836,1.0203427892684938,31.763781140136718,1.000558807373047
9,train,0.49087439661026,0.3889205909729004,1.0195380485534669,0.0,0.875,0.0,2.0,0.0,0.0,32.25275838623047,1.0195380485534669,31.7528921875,1.0001937826156617
9,val,0.49095307531356813,0.38891885566711426,1.020342138671875,0.0,0.875,0.0,2.0,0.0,0.0,32.27782600097656,1.020342138671875,31.763781140136718,1.000558807373047
10,train,0.4908736243247986,0.3889198836326599,1.0195374071121215,0.0,0.875,0.0,2.0,0.0,0.0,32.252741772460936,1.0195374071121215,31.7528921875,1.0001937902450562
10,val,0.490952472448349,0.38891831312179564,1.0203415613174438,0.0,0.875,0.0,2.0,0.0,0.0,32.27781065063476,1.0203415613174438,31.763781140136718,1.000558807373047
11,train,0.49087295331954955,0.3889192677974701,1.019536835861206,0.0,0.875,0.0,2.0,0.0,0.0,32.25272703857422,1.019536835861206,31.7528921875,1.0001937786102295
11,val,0.49095193367004397,0.3889178285598755,1.0203410112380982,0.0,0.875,0.0,2.0,0.0,0.0,32.277797552490235,1.0203410112380982,31.763781140136718,1.000558807373047
12,train,0.49087233686447146,0.3889187016487122,1.019536339378357,0.0,0.875,0.0,2.0,0.0,0.0,32.2527135925293,1.019536339378357,31.7528921875,1.0001937828063965
12,val,0.49095144300460813,0.38891738905906675,1.0203405408859252,0.0,0.875,0.0,2.0,0.0,0.0,32.2777864074707,1.0203405408859252,31.763781140136718,1.000558807373047
13,train,0.49087178859710695,0.3889181972503662,1.019535877609253,0.0,0.875,0.0,2.0,0.0,0.0,32.252701416015626,1.019535877609253,31.7528921875,1.000193779373169
13,val,0.49095099668502806,0.38891698780059814,1.020340094947815,0.0,0.875,0.0,2.0,0.0,0.0,32.277776043701174,1.020340094947815,31.763781140136718,1.000558807373047
14,train,0.4908712797164917,0.38891773281097414,1.0195354530334473,0.0,0.875,0.0,2.0,0.0,0.0,32.25269041137695,1.0195354530334473,31.7528921875,1.000193782043457
14,val,0.49095060782432554,0.38891663484573363,1.0203396856307982,0.0,0.875,0.0,2.0,0.0,0.0,32.27776567993164,1.0203396856307982,31.763781140136718,1.000558807373047
15,train,0.49087082557678224,0.38891731805801394,1.0195350704193116,0.0,0.875,0.0,2.0,0.0,0.0,32.25268040161133,1.0195350704193116,31.7528921875,1.0001937811851502
15,val,0.49095024480819704,0.3889163023471832,1.0203393739700317,0.0,0.875,0.0,2.0,0.0,0.0,32.277758441162106,1.0203393739700317,31.763781140136718,1.000558807373047
16,train,0.4908704312324524,0.38891695556640626,1.0195347385406495,0.0,0.875,0.0,2.0,0.0,0.0,32.25267166137695,1.0195347385406495,31.7528921875,1.0001937797546387
16,val,0.49094991769790647,0.3889160111427307,1.0203390501022338,0.0,0.875,0.0,2.0,0.0,0.0,32.277751110839844,1.0203390501022338,31.763781140136718,1.000558807373047
17,train,0.49087007036209107,0.388916624212265,1.0195344367980956,0.0,0.875,0.0,2.0,0.0,0.0,32.25266405029297,1.0195344367980956,31.7528921875,1.0001937728881836
17,val,0.4909496433734894,0.3889157673358917,1.0203387937545776,0.0,0.875,0.0,2.0,0.0,0.0,32.277742309570314,1.0203387937545776,31.763781140136718,1.000558807373047
18,train,0.4908697563648224,0.3889163345336914,1.0195341871261596,0.0,0.875,0.0,2.0,0.0,0.0,32.25265729980469,1.0195341871261596,31.7528921875,1.0001937803268433
18,val,0.49094940423965455,0.3889155427455902,1.0203385553359985,0.0,0.875,0.0,2.0,0.0,0.0,32.277736932373045,1.0203385553359985,31.763781140136718,1.000558807373047
19,train,0.49086947445869444,0.3889160779953003,1.019533943939209,0.0,0.875,0.0,2.0,0.0,0.0,32.25265038146973,1.019533943939209,31.7528921875,1.0001937744140625
19,val,0.4909491810798645,0.38891534399986266,1.020338338470459,0.0,0.875,0.0,2.0,0.0,0.0,32.27773311767578,1.020338338470459,31.763781140136718,1.000558807373047
20,train,0.49086922855377196,0.38891585359573366,1.0195337329864502,0.0,0.875,0.0,2.0,0.0,0.0,32.25264528808594,1.0195337329864502,31.7528921875,1.0001937746047973
20,val,0.49094897623062134,0.38891515979766844,1.020338146018982,0.0,0.875,0.0,2.0,0.0,0.0,32.277728430175785,1.020338146018982,31.763781140136718,1.000558807373047
21,train,0.49086900520324706,0.3889156477928162,1.0195335559844971,0.0,0.875,0.0,2.0,0.0,0.0,32.25264075927734,1.0195335559844971,31.7528921875,1.0001937774658203
21,val,0.4909488187789917,0.38891501150131225,1.0203380268096924,0.0,0.875,0.0,2.0,0.0,0.0,32.27772461547852,1.0203380268096924,31.763781140136718,1.000558807373047
22,train,0.4908688196182251,0.38891547422409056,1.0195334117889405,0.0,0.875,0.0,2.0,0.0,0.0,32.25263609619141,1.0195334117889405,31.7528921875,1.0001937797546387
22,val,0.4909486575603485,0.38891487703323363,1.020337822151184,0.0,0.875,0.0,2.0,0.0,0.0,32.27772041015625,1.020337822151184,31.763781140136718,1.000558807373047
23,train,0.49086864671707153,0.3889153222084045,1.0195332466125488,0.0,0.875,0.0,2.0,0.0,0.0,32.252632568359374,1.0195332466125488,31.7528921875,1.0001937776565553
23,val,0.4909485291957855,0.3889147578239441,1.0203377029418945,0.0,0.875,0.0,2.0,0.0,0.0,32.27771689453125,1.0203377029418945,31.763781140136718,1.000558807373047
24,train,0.49086849174499514,0.3889151755332947,1.0195331394195557,0.0,0.875,0.0,2.0,0.0,0.0,32.252629748535156,1.0195331394195557,31.7528921875,1.000193782234192
24,val,0.4909484069347382,0.38891464471817017,1.0203376174926757,0.0,0.875,0.0,2.0,0.0,0.0,32.277714251708986,1.0203376174926757,31.763781140136718,1.000558807373047
25,train,0.49086835770606996,0.3889150552749634,1.0195330303192138,0.0,0.875,0.0,2.0,0.0,0.0,32.25262635498047,1.0195330303192138,31.7528921875,1.00019377784729
25,val,0.4909483006477356,0.3889145529747009,1.020337486076355,0.0,0.875,0.0,2.0,0.0,0.0,32.27771160888672,1.020337486076355,31.763781140136718,1.000558807373047
26,train,0.49086823778152466,0.3889149425983429,1.0195329286575316,0.0,0.875,0.0,2.0,0.0,0.0,32.252623486328126,1.0195329286575316,31.7528921875,1.0001937843322755
26,val,0.49094821357727053,0.3889144666194916,1.02033743724823,0.0,0.875,0.0,2.0,0.0,0.0,32.27770965576172,1.02033743724823,31.763781140136718,1.000558807373047
27,train,0.490868123960495,0.3889148416519165,1.0195328201293945,0.0,0.875,0.0,2.0,0.0,0.0,32.25262149963379,1.0195328201293945,31.7528921875,1.000193776512146
27,val,0.4909481295585632,0.38891439175605774,1.0203373273849488,0.0,0.875,0.0,2.0,0.0,0.0,32.277708093261715,1.0203373273849488,31.763781140136718,1.000558807373047
28,train,0.4908680307865143,0.38891475410461424,1.0195327430725099,0.0,0.875,0.0,2.0,0.0,0.0,32.25261903076172,1.0195327430725099,31.7528921875,1.0001937759399413
28,val,0.4909480516433716,0.38891432838439943,1.0203372692108155,0.0,0.875,0.0,2.0,0.0,0.0,32.277705450439456,1.0203372692108155,31.763781140136718,1.000558807373047
29,train,0.4908679510116577,0.38891468176841737,1.0195326807022094,0.0,0.875,0.0,2.0,0.0,0.0,32.25261717529297,1.0195326807022094,31.7528921875,1.0001937761306763
29,val,0.4909479774951935,0.3889142572879791,1.0203371959686278,0.0,0.875,0.0,2.0,0.0,0.0,32.27770457763672,1.0203371959686278,31.763781140136718,1.000558807373047
30,train,0.49086787033081053,0.3889146053791046,1.0195326189041138,0.0,0.875,0.0,2.0,0.0,0.0,32.25261564941406,1.0195326189041138,31.7528921875,1.0001937795639038
30,val,0.49094792938232423,0.3889142091751099,1.020337147140503,0.0,0.875,0.0,2.0,0.0,0.0,32.27770310668945,1.020337147140503,31.763781140136718,1.000558807373047
31,train,0.4908677954673767,0.38891453828811645,1.0195325593948363,0.0,0.875,0.0,2.0,0.0,0.0,32.25261436157226,1.0195325593948363,31.7528921875,1.000193786239624
31,val,0.490947873544693,0.3889141594409943,1.0203370861053467,0.0,0.875,0.0,2.0,0.0,0.0,32.27770115356445,1.0203370861053467,31.763781140136718,1.000558807373047
32,train,0.4908677248954773,0.38891447172164917,1.0195325109481812,0.0,0.875,0.0,2.0,0.0,0.0,32.25261268310547,1.0195325109481812,31.7528921875,1.0001937795639038
32,val,0.4909478132247925,0.388914111328125,1.0203370157241822,0.0,0.875,0.0,2.0,0.0,0.0,32.27769998168945,1.0203370157241822,31.763781140136718,1.000558807373047
33,train,0.49086766381263736,0.3889144171714783,1.0195324558258057,0.0,0.875,0.0,2.0,0.0,0.0,32.25261146240234,1.0195324558258057,31.7528921875,1.0001937841415405
33,val,0.4909477536201477,0.38891405477523805,1.0203369913101197,0.0,0.875,0.0,2.0,0.0,0.0,32.27769880981445,1.0203369913101197,31.763781140136718,1.000558807373047
34,train,0.4908676113605499,0.38891436738967894,1.0195324169158935,0.0,0.875,0.0,2.0,0.0,0.0,32.25260979003906,1.0195324169158935,31.7528921875,1.0001937761306763
34,val,0.49094772992134095,0.3889140341281891,1.0203369302749634,0.0,0.875,0.0,2.0,0.0,0.0,32.27769851074219,1.0203369302749634,31.763781140136718,1.000558807373047
35,train,0.49086755738258364,0.38891431884765626,1.0195323631286621,0.0,0.875,0.0,2.0,0.0,0.0,32.252608764648436,1.0195323631286621,31.7528921875,1.000193783378601
35,val,0.49094768557548524,0.3889139921188354,1.0203368965148927,0.0,0.875,0.0,2.0,0.0,0.0,32.27769772949219,1.0203368965148927,31.763781140136718,1.000558807373047
36,train,0.49086751012802127,0.3889142737865448,1.019532328414917,0.0,0.875,0.0,2.0,0.0,0.0,32.252608288574216,1.019532328414917,31.7528921875,1.000193780708313
36,val,0.49094765882492064,0.3889139653682709,1.0203368965148927,0.0,0.875,0.0,2.0,0.0,0.0,32.27769772949219,1.0203368965148927,31.763781140136718,1.000558807373047
37,train,0.4908674693584442,0.3889142400741577,1.0195322843551635,0.0,0.875,0.0,2.0,0.0,0.0,32.25260715332031,1.0195322843551635,31.7528921875,1.0001937658309936
37,val,0.49094761447906493,0.38891392712593076,1.0203368598937987,0.0,0.875,0.0,2.0,0.0,0.0,32.277696166992186,1.0203368598937987,31.763781140136718,1.000558807373047
38,train,0.49086742386817933,0.3889141949176788,1.0195322589874267,0.0,0.875,0.0,2.0,0.0,0.0,32.2526060546875,1.0195322589874267,31.7528921875,1.0001937876701354
38,val,0.4909475961685181,0.38891391186714175,1.0203368110656739,0.0,0.875,0.0,2.0,0.0,0.0,32.277695385742184,1.0203368110656739,31.763781140136718,1.000558807373047
39,train,0.49086738691329956,0.3889141643047333,1.019532213783264,0.0,0.875,0.0,2.0,0.0,0.0,32.25260554199219,1.019532213783264,31.7528921875,1.0001937768936158
39,val,0.4909475511074066,0.3889138698577881,1.0203367988586425,0.0,0.875,0.0,2.0,0.0,0.0,32.277695385742184,1.0203367988586425,31.763781140136718,1.000558807373047
40,train,0.49086734781265257,0.38891412801742553,1.0195321834564208,0.0,0.875,0.0,2.0,0.0,0.0,32.252604516601565,1.0195321834564208,31.7528921875,1.0001937868118287
40,val,0.4909475365638733,0.3889138614177704,1.0203367622375488,0.0,0.875,0.0,2.0,0.0,0.0,32.27769382324219,1.0203367622375488,31.763781140136718,1.000558807373047
41,train,0.4908673213005066,0.3889141022205353,1.0195321691513062,0.0,0.875,0.0,2.0,0.0,0.0,32.25260405273438,1.0195321691513062,31.7528921875,1.0001937814712525
41,val,0.4909474938392639,0.388913818693161,1.0203367500305176,0.0,0.875,0.0,2.0,0.0,0.0,32.27769313354492,1.0203367500305176,31.763781140136718,1.000558807373047
42,train,0.49086728715896605,0.3889140719890595,1.0195321353912354,0.0,0.875,0.0,2.0,0.0,0.0,32.25260325927734,1.0195321353912354,31.7528921875,1.0001937837600707
42,val,0.49094748306274416,0.3889138079166412,1.0203367500305176,0.0,0.875,0.0,2.0,0.0,0.0,32.277693432617184,1.0203367500305176,31.763781140136718,1.000558807373047
43,train,0.4908672558307648,0.38891404428482057,1.0195321140289306,0.0,0.875,0.0,2.0,0.0,0.0,32.25260220336914,1.0195321140289306,31.7528921875,1.00019377784729
43,val,0.49094747767448427,0.38891380252838137,1.020336728477478,0.0,0.875,0.0,2.0,0.0,0.0,32.277692742919925,1.020336728477478,31.763781140136718,1.000558807373047
44,train,0.4908672372817993,0.38891402497291566,1.0195321018218995,0.0,0.875,0.0,2.0,0.0,0.0,32.25260204467774,1.0195321018218995,31.7528921875,1.0001937812805175
44,val,0.49094742813110354,0.38891375603675843,1.0203367040634155,0.0,0.875,0.0,2.0,0.0,0.0,32.27769196166992,1.0203367040634155,31.763781140136718,1.000558807373047
45,train,0.4908672022819519,0.3889139943599701,1.019532069015503,0.0,0.875,0.0,2.0,0.0,0.0,32.25260092773438,1.019532069015503,31.7528921875,1.0001937731742858
45,val,0.490947416639328,0.38891375064849854,1.0203366674423218,0.0,0.875,0.0,2.0,0.0,0.0,32.27769196166992,1.0203366674423218,31.763781140136718,1.000558807373047
46,train,0.49086718034744264,0.38891397447586057,1.019532041168213,0.0,0.875,0.0,2.0,0.0,0.0,32.25260052490234,1.019532041168213,31.7528921875,1.000193783378601
46,val,0.490947416639328,0.38891375064849854,1.0203366889953613,0.0,0.875,0.0,2.0,0.0,0.0,32.27769010009766,1.0203366889953613,31.763781140136718,1.000558807373047
47,train,0.4908671564102173,0.3889139501094818,1.0195320386886597,0.0,0.875,0.0,2.0,0.0,0.0,32.2526003540039,1.0195320386886597,31.7528921875,1.0001937824249267
47,val,0.49094738521575926,0.3889137131214142,1.0203366674423218,0.0,0.875,0.0,2.0,0.0,0.0,32.277689709472654,1.0203366674423218,31.763781140136718,1.000558807373047
48,train,0.49086713218688965,0.38891392993927004,1.019532007408142,0.0,0.875,0.0,2.0,0.0,0.0,32.25259993286133,1.019532007408142,31.7528921875,1.0001937810897827
48,val,0.49094735164642334,0.38891368870735166,1.0203366523742676,0.0,0.875,0.0,2.0,0.0,0.0,32.277689709472654,1.0203366523742676,31.763781140136718,1.000558807373047
49,train,0.4908671170711517,0.38891391682624815,1.0195319953918458,0.0,0.875,0.0,2.0,0.0,0.0,32.25259916992187,1.0195319953918458,31.7528921875,1.0001937770843505
49,val,0.49094734859466554,0.38891368870735166,1.0203365942001343,0.0,0.875,0.0,2.0,0.0,0.0,32.277689318847656,1.0203365942001343,31.763781140136718,1.000558807373047
50,train,0.49086709151268004,0.3889138928413391,1.0195319721221925,0.0,0.875,0.0,2.0,0.0,0.0,32.252599072265625,1.0195319721221925,31.7528921875,1.0001937768936158
50,val,0.4909473455429077,0.38891368870735166,1.020336581993103,0.0,0.875,0.0,2.0,0.0,0.0,32.27768892822266,1.020336581993103,31.763781140136718,1.000558807373047
1,test,0.4908875515460968,0.3889243896961212,1.019631572532654,0.0,0.875,0.0,2.0,0.0,0.0,32.25096445922851,1.019631572532654,31.757028143310546,1.000354437637329
